date,hpi_index,mort_rate_1y,mort_rate_float,ocr,dwellings_consent_count,net_migration_nz,filled_jobs_nz,new_listings_akl,total_stock_akl,sales_count_akl,days_to_sell_akl,median_price_akl,y_log,y_diff,sales_count_akl_lag1,sales_count_akl_lag2,sales_count_akl_lag3,days_to_sell_akl_lag1,days_to_sell_akl_lag2,days_to_sell_akl_lag3
2020-12-31,3457.0,3.34,4.51,0.25,1589.0,-2120.0,754819.0,2161.0,5810.0,3219.0,29.0,1040000.0,8.148156439921625,0.01868667513739375,3728.0,3140.0,2861.0,30.0,30.0,36.0
2021-01-31,3436.0,3.26,4.51,0.25,1410.0,-840.0,733686.0,3139.0,6503.0,1870.0,35.0,1000000.0,8.142063283104147,-0.006093156817478018,3219.0,3728.0,3140.0,29.0,30.0,30.0
2021-02-28,3662.0,3.24,4.51,0.25,1176.0,-880.0,742549.0,4363.0,7196.0,2775.0,34.0,1100000.0,8.205764725234456,0.06370144213030926,1870.0,3219.0,3728.0,35.0,29.0,30.0
2021-03-31,3749.0,3.24,4.51,0.25,1622.0,-1150.0,747388.0,4515.0,8282.0,3872.0,31.0,1120000.0,8.229244416735913,0.023479691501457012,2775.0,1870.0,3219.0,34.0,35.0,29.0
2021-04-30,3738.0,3.23,4.51,0.25,1623.0,-860.0,750679.0,,,2591.0,31.0,1125000.0,8.226305988015508,-0.002938428720405284,3872.0,2775.0,1870.0,31.0,34.0,35.0
2021-05-31,3754.0,3.2,4.47,0.25,1708.0,-1080.0,754059.0,3420.0,6728.0,2766.0,32.0,1148000.0,8.230577217146454,0.004271229130946352,2591.0,3872.0,2775.0,31.0,31.0,34.0
2021-06-30,3767.0,3.17,4.47,0.25,1910.0,-2000.0,757326.0,3081.0,6249.0,2766.0,32.0,1150000.0,8.23403420769204,0.003456990545586791,2766.0,2591.0,3872.0,32.0,31.0,31.0
2021-07-31,3897.0,3.39,4.52,0.25,1691.0,-950.0,758256.0,3155.0,5809.0,2691.0,32.0,1175000.0,8.26796230533871,0.03392809764666893,2766.0,2766.0,2591.0,32.0,32.0,31.0
2021-08-31,3985.0,3.37,4.52,0.25,2162.0,-1190.0,764248.0,2590.0,5654.0,2346.0,32.0,1200000.0,8.290292591224315,0.02233028588560515,2691.0,2766.0,2766.0,32.0,32.0,32.0
2021-09-30,4009.0,3.54,4.52,0.25,1691.0,-180.0,763723.0,1709.0,5859.0,1338.0,35.0,1150000.0,8.296297112642508,0.006004521418192965,2346.0,2691.0,2766.0,32.0,32.0,32.0
2021-10-31,4149.0,3.82,4.65,0.5,1614.0,360.0,767568.0,4417.0,6603.0,2576.0,45.0,1250000.0,8.330622620332868,0.03432550769035991,1338.0,2346.0,2691.0,35.0,32.0,32.0
2021-11-30,4272.0,4.12,4.83,0.75,2188.0,-1720.0,778083.0,5773.0,8599.0,3102.0,30.0,1300000.0,8.35983738064003,0.029214760307162635,2576.0,1338.0,2346.0,45.0,35.0,32.0
2021-12-31,4176.0,4.2,4.91,0.75,1734.0,-4450.0,782763.0,2434.0,7595.0,2313.0,29.0,1290000.0,8.337109129562474,-0.02272825107755594,3102.0,2576.0,1338.0,30.0,45.0,35.0
2022-01-31,4064.0,4.18,4.91,0.75,1202.0,-3510.0,765370.0,2737.0,8494.0,1323.0,34.0,1200000.0,8.309922989258318,-0.027186140304156226,2313.0,3102.0,2576.0,29.0,30.0,45.0
2022-02-28,4038.0,4.26,4.94,1.0,1641.0,-3360.0,769747.0,4365.0,10017.0,1741.0,48.0,1190000.0,8.303504798872783,-0.006418190385534928,1323.0,2313.0,3102.0,34.0,29.0,30.0
2022-03-31,3941.0,4.49,5.08,1.0,2313.0,-520.0,769278.0,4033.0,10736.0,2367.0,39.0,1200000.0,8.279189777195004,-0.024315021677779214,1741.0,1323.0,2313.0,48.0,34.0,29.0
2022-04-30,3836.0,4.87,5.39,1.5,1614.0,-870.0,772147.0,3026.0,9990.0,1573.0,40.0,1170000.0,8.252185436003328,-0.027004341191675607,2367.0,1741.0,1323.0,39.0,48.0,34.0
2022-05-31,3774.0,4.96,5.51,2.0,1928.0,-1250.0,772128.0,3182.0,10575.0,1761.0,43.0,1125000.0,8.235890725928495,-0.016294710074832963,1573.0,2367.0,1741.0,40.0,39.0,48.0
2022-06-30,3708.0,5.56,5.89,2.0,1831.0,-60.0,773252.0,2899.0,10451.0,1618.0,44.0,1156000.0,8.218247926685745,-0.017642799242750584,1761.0,1573.0,2367.0,43.0,40.0,39.0
2022-07-31,3604.0,5.65,6.22,2.5,1825.0,2240.0,774052.0,2692.0,10626.0,1419.0,45.0,1100000.0,8.189799618728228,-0.028448307957516406,1618.0,1761.0,1573.0,44.0,43.0,40.0
