series,col,lag0,lag1,lag2,lag3,lag4,lag5,lag6,best_lag,best_corr_signed,best_abs_corr
OCR,ocr_imp,-0.2682378628526398,-0.24470448930140415,-0.22893951263384296,-0.21053337561708413,-0.19031670696566735,-0.1737655973935004,-0.16007204239930553,0,-0.2682378628526398,0.2682378628526398
New listings (AKL),new_listings_akl_imp,0.4537405126214691,-0.048793264301013536,-0.4116208638825401,0.06720976096342926,0.19626801344858605,0.026653991671880102,-0.045920131316152114,0,0.4537405126214691,0.4537405126214691
Total stock (AKL),total_stock_akl_imp,-0.4032186770090013,-0.49813240812842596,-0.4932881370490157,-0.25712942001373024,-0.1558031937010609,-0.15404767217299217,-0.1193484200294586,1,-0.49813240812842596,0.49813240812842596
Sales count (AKL),sales_count_akl_imp,0.5723846791295383,0.15290406102883772,0.1786834573465248,0.41147345950093883,0.306881133467299,0.10403976612279915,0.04046628895046428,0,0.5723846791295383,0.5723846791295383
Days to sell (AKL),days_to_sell_akl_imp,-0.24483199017937662,-0.056600852850677105,-0.25205190170115077,-0.21736648381205972,-0.07323056199228543,-0.0008559609317967484,0.020323978345787194,2,-0.25205190170115077,0.25205190170115077
Median price (AKL),median_price_akl_imp,-0.005045672718691218,-0.19515223149535688,-0.19343287597354356,-0.16575206431751827,-0.23797984693483024,-0.3003627826878532,-0.32331420132023925,6,-0.32331420132023925,0.32331420132023925
