h,scale,snaive_MAE,snaive_RMSE,snaive_MAPE,ets_MAE,ets_RMSE,ets_MAPE,arima_MAE,arima_RMSE,arima_MAPE,arimax_MAE,arimax_RMSE,arimax_MAPE
1,log,0.1031221761570199,0.13203236433527885,1.2561009897380828,0.013777956693416847,0.017285895748825962,0.1680635560631745,0.012579484902282351,0.015591235345744093,0.1533098191433298,0.014081967385788421,0.017201898700371903,0.17148738000658878
3,log,0.10727253046029706,0.1422906522004578,1.3072109895611816,0.03240907240786598,0.04352567809222335,0.39515925730773444,0.03026023877208608,0.035771397023384006,0.36862803342883177,0.035016727750890625,0.04266957618171754,0.42655996706109167
6,log,0.11469748343899445,0.14389319133241052,1.4021655569516842,0.07580351242039841,0.09065340588778675,0.9262567177417595,0.05340591257203725,0.06480187167725894,0.6533569619046249,0.0578241052810954,0.07493864519057068,0.7062339885784108
12,log,0.1216194142153678,0.1325919090127845,1.4945875884013493,0.18060475250961477,0.2103433862953159,2.2158186699616422,0.08323924380079453,0.10630806422390159,1.0229357289595384,0.0813908946180482,0.097381750467505,0.9994456016667631
