series,col,chosen_causal_lag,RMSE_model,RMSE_naive0,%_improvement_vs_naive0,n_test_obs
OCR,ocr_imp,1,0.01143905496573146,0.010199272804485154,-12.155593688023613,12
New listings (AKL),new_listings_akl_imp,2,0.00782667926198077,0.010199272804485154,23.26237946553435,12
Total stock (AKL),total_stock_akl_imp,1,0.019059320820298466,0.010199272804485154,-86.86940908097962,12
Sales count (AKL),sales_count_akl_imp,3,0.011144131958426565,0.010199272804485154,-9.263985502239992,12
Days to sell (AKL),days_to_sell_akl_imp,2,0.010726183626462575,0.010199272804485154,-5.166160686923779,12
Median price (AKL),median_price_akl_imp,6,0.010873192596681083,0.010199272804485154,-6.607527861197821,12
